Date,3Mo,6Mo,1Yr,2Yr,3Yr,4Yr,5Yr,7Yr,10Yr,30Yr
1/2/1990,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
1/3/1990,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
1/4/1990,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
1/5/1990,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
1/8/1990,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
1/9/1990,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
1/10/1990,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
1/11/1990,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
1/12/1990,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
1/16/1990,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
1/17/1990,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
1/18/1990,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
1/19/1990,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
1/22/1990,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
1/23/1990,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
1/24/1990,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
1/25/1990,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
1/26/1990,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.09
1/29/1990,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.09,0.09
1/30/1990,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.09,0.09
1/31/1990,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
2/1/1990,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
2/2/1990,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.09,0.09
2/5/1990,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.09,0.09
2/6/1990,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.09,0.09,0.09
2/7/1990,0.08,0.08,0.08,0.08,0.08,0.08,0.09,0.09,0.09,0.09
2/8/1990,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.09
2/9/1990,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
2/12/1990,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
2/13/1990,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
2/14/1990,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
2/15/1990,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
2/16/1990,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
2/20/1990,0.08,0.08,0.08,0.09,0.09,0.09,0.09,0.09,0.09,0.09
2/21/1990,0.08,0.08,0.08,0.09,0.09,0.09,0.09,0.09,0.09,0.09
2/22/1990,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.09,0.09,0.09
2/23/1990,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.09,0.09,0.09
2/26/1990,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
2/27/1990,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
2/28/1990,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.09,0.09,0.09
3/1/1990,0.08,0.08,0.08,0.09,0.09,0.09,0.09,0.09,0.09,0.09
3/2/1990,0.08,0.08,0.08,0.08,0.09,0.09,0.09,0.09,0.09,0.09
3/5/1990,0.08,0.08,0.08,0.09,0.09,0.09,0.09,0.09,0.09,0.09
3/6/1990,0.08,0.08,0.08,0.09,0.09,0.09,0.09,0.09,0.09,0.09
3/7/1990,0.08,0.08,0.08,0.09,0.09,0.09,0.09,0.09,0.09,0.09
3/8/1990,0.08,0.08,0.08,0.09,0.09,0.09,0.09,0.09,0.09,0.09
3/9/1990,0.08,0.08,0.08,0.09,0.09,0.09,0.09,0.09,0.09,0.09
3/12/1990,0.08,0.08,0.08,0.09,0.09,0.09,0.09,0.09,0.09,0.09
3/13/1990,0.08,0.08,0.08,0.09,0.09,0.09,0.09,0.09,0.09,0.09
3/14/1990,0.08,0.08,0.08,0.09,0.09,0.09,0.09,0.09,0.09,0.09
3/15/1990,0.08,0.08,0.08,0.09,0.09,0.09,0.09,0.09,0.09,0.09
3/16/1990,0.08,0.08,0.08,0.09,0.09,0.09,0.09,0.09,0.09,0.09
3/19/1990,0.08,0.08,0.08,0.09,0.09,0.09,0.09,0.09,0.09,0.09
3/20/1990,0.08,0.08,0.08,0.09,0.09,0.09,0.09,0.09,0.09,0.08
3/21/1990,0.08,0.08,0.08,0.09,0.09,0.09,0.09,0.09,0.09,0.08
3/22/1990,0.08,0.08,0.08,0.09,0.09,0.09,0.09,0.09,0.09,0.08
3/23/1990,0.08,0.08,0.08,0.09,0.09,0.09,0.09,0.09,0.09,0.08
3/26/1990,0.08,0.08,0.08,0.09,0.09,0.09,0.09,0.09,0.09,0.08
3/27/1990,0.08,0.08,0.08,0.09,0.09,0.09,0.09,0.09,0.09,0.08
3/28/1990,0.08,0.08,0.08,0.09,0.09,0.09,0.09,0.09,0.09,0.08
3/29/1990,0.08,0.08,0.08,0.09,0.09,0.09,0.09,0.09,0.09,0.09
3/30/1990,0.08,0.08,0.08,0.09,0.09,0.09,0.09,0.09,0.09,0.09
4/2/1990,0.08,0.08,0.08,0.09,0.09,0.09,0.09,0.09,0.09,0.09
4/3/1990,0.08,0.08,0.08,0.09,0.09,0.09,0.09,0.09,0.09,0.09
4/4/1990,0.08,0.08,0.08,0.09,0.09,0.09,0.09,0.09,0.09,0.09
4/5/1990,0.08,0.08,0.08,0.09,0.09,0.09,0.09,0.09,0.09,0.09
4/6/1990,0.08,0.08,0.08,0.09,0.09,0.09,0.09,0.09,0.09,0.09
4/9/1990,0.08,0.08,0.08,0.09,0.09,0.09,0.09,0.09,0.09,0.09
4/10/1990,0.08,0.08,0.08,0.09,0.09,0.09,0.09,0.09,0.09,0.09
4/11/1990,0.08,0.08,0.08,0.09,0.09,0.09,0.09,0.09,0.09,0.09
4/12/1990,0.08,0.08,0.08,0.09,0.09,0.09,0.09,0.09,0.09,0.09
4/16/1990,0.08,0.08,0.08,0.09,0.09,0.09,0.09,0.09,0.09,0.09
4/17/1990,0.08,0.08,0.08,0.09,0.09,0.09,0.09,0.09,0.09,0.09
4/18/1990,0.08,0.08,0.08,0.09,0.09,0.09,0.09,0.09,0.09,0.09
4/19/1990,0.08,0.08,0.08,0.09,0.09,0.09,0.09,0.09,0.09,0.09
4/20/1990,0.08,0.08,0.08,0.09,0.09,0.09,0.09,0.09,0.09,0.09
4/23/1990,0.08,0.08,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09
4/24/1990,0.08,0.08,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09
4/25/1990,0.08,0.08,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09
4/26/1990,0.08,0.08,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09
4/27/1990,0.08,0.08,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09
4/30/1990,0.08,0.08,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09
5/1/1990,0.08,0.08,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09
5/2/1990,0.08,0.08,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09
5/3/1990,0.08,0.08,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09
5/4/1990,0.08,0.08,0.08,0.09,0.09,0.09,0.09,0.09,0.09,0.09
5/7/1990,0.08,0.08,0.08,0.09,0.09,0.09,0.09,0.09,0.09,0.09
5/8/1990,0.08,0.08,0.08,0.09,0.09,0.09,0.09,0.09,0.09,0.09
5/9/1990,0.08,0.08,0.08,0.09,0.09,0.09,0.09,0.09,0.09,0.09
5/10/1990,0.08,0.08,0.08,0.09,0.09,0.09,0.09,0.09,0.09,0.09
5/11/1990,0.08,0.08,0.08,0.09,0.09,0.09,0.09,0.09,0.09,0.09
5/14/1990,0.08,0.08,0.08,0.09,0.09,0.09,0.09,0.09,0.09,0.09
5/15/1990,0.08,0.08,0.08,0.09,0.09,0.09,0.09,0.09,0.09,0.09
5/16/1990,0.08,0.08,0.08,0.09,0.09,0.09,0.09,0.09,0.09,0.09
5/17/1990,0.08,0.08,0.08,0.09,0.09,0.09,0.09,0.09,0.09,0.09
5/18/1990,0.08,0.08,0.08,0.09,0.09,0.09,0.09,0.09,0.09,0.09
5/21/1990,0.08,0.08,0.08,0.09,0.09,0.09,0.09,0.09,0.09,0.09
5/22/1990,0.08,0.08,0.08,0.09,0.09,0.09,0.09,0.09,0.09,0.09
5/23/1990,0.08,0.08,0.08,0.09,0.09,0.09,0.09,0.09,0.09,0.09
5/24/1990,0.08,0.08,0.08,0.09,0.09,0.09,0.09,0.09,0.09,0.09
5/25/1990,0.08,0.08,0.08,0.09,0.09,0.09,0.09,0.09,0.09,0.09
5/29/1990,0.08,0.08,0.08,0.09,0.09,0.09,0.09,0.09,0.09,0.09
5/30/1990,0.08,0.08,0.08,0.08,0.09,0.09,0.09,0.09,0.09,0.09
5/31/1990,0.08,0.08,0.08,0.09,0.09,0.09,0.09,0.09,0.09,0.09
6/1/1990,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
6/4/1990,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
6/5/1990,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.09,0.08,0.08
6/6/1990,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.09,0.08,0.08
6/7/1990,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
6/8/1990,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.09,0.08,0.08
6/11/1990,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.09,0.08,0.08
6/12/1990,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.09,0.08,0.08
6/13/1990,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
6/14/1990,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
6/15/1990,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
6/18/1990,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.09,0.09,0.08
6/19/1990,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.09,0.09,0.08
6/20/1990,0.08,0.08,0.08,0.08,0.08,0.08,0.09,0.09,0.09,0.09
6/21/1990,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.09,0.09,0.09
6/22/1990,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.09,0.09,0.08
6/25/1990,0.08,0.08,0.08,0.08,0.08,0.09,0.09,0.09,0.09,0.09
6/26/1990,0.08,0.08,0.08,0.08,0.08,0.09,0.09,0.09,0.09,0.09
6/27/1990,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.09,0.09,0.08
6/28/1990,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.09,0.08,0.08
6/29/1990,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
7/2/1990,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
7/3/1990,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
7/5/1990,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
7/6/1990,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.09,0.09,0.09
7/9/1990,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.09,0.09,0.09
7/10/1990,0.08,0.08,0.08,0.08,0.08,0.08,0.09,0.09,0.09,0.09
7/11/1990,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.09,0.09,0.09
7/12/1990,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.09,0.09
7/13/1990,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
7/16/1990,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
7/17/1990,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
7/18/1990,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.09,0.09
7/19/1990,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.09,0.09
7/20/1990,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.09
7/23/1990,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.09
7/24/1990,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.09,0.09
7/25/1990,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.09
7/26/1990,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.09
7/27/1990,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
7/30/1990,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
7/31/1990,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
8/1/1990,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
8/2/1990,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
8/3/1990,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.09
8/6/1990,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.09,0.09,0.09
8/7/1990,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.09,0.09,0.09
8/8/1990,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.09,0.09,0.09
8/9/1990,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.09,0.09,0.09
8/10/1990,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.09,0.09,0.09
8/13/1990,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.09,0.09,0.09
8/14/1990,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.09,0.09,0.09
8/15/1990,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.09,0.09,0.09
8/16/1990,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.09,0.09,0.09
8/17/1990,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.09,0.09,0.09
8/20/1990,0.08,0.08,0.08,0.08,0.08,0.08,0.09,0.09,0.09,0.09
8/21/1990,0.08,0.08,0.08,0.08,0.08,0.08,0.09,0.09,0.09,0.09
8/22/1990,0.08,0.08,0.08,0.08,0.08,0.09,0.09,0.09,0.09,0.09
8/23/1990,0.08,0.08,0.08,0.08,0.08,0.09,0.09,0.09,0.09,0.09
8/24/1990,0.08,0.08,0.08,0.08,0.09,0.09,0.09,0.09,0.09,0.09
8/27/1990,0.08,0.08,0.08,0.08,0.08,0.08,0.09,0.09,0.09,0.09
8/28/1990,0.08,0.08,0.08,0.08,0.08,0.09,0.09,0.09,0.09,0.09
8/29/1990,0.08,0.08,0.08,0.08,0.08,0.08,0.09,0.09,0.09,0.09
8/30/1990,0.08,0.08,0.08,0.08,0.08,0.08,0.09,0.09,0.09,0.09
8/31/1990,0.08,0.08,0.08,0.08,0.08,0.08,0.09,0.09,0.09,0.09
9/4/1990,0.08,0.08,0.08,0.08,0.08,0.08,0.09,0.09,0.09,0.09
9/5/1990,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.09,0.09,0.09
